"AST_AST_ID,HAE_NAAM,LKE_LKE_ID,HAT_ID,ATTRIBUUT_1,ATTRIBUUT_2,ATTRIBUUT_3,ATTRIBUUT_4,ATTRIBUUT_5,ATTRIBUUT_6,ATTRIBUUT_7,ATTRIBUUT_8,ATTRIBUUT_9,ATTRIBUUT_10,MCE_MCE_ID,TYPE_SCHAKELING,SOORT_SMELTVEILIGHEID"
",Stroomtrafo,212,8,9921780,9921782,9921781,750/5,5,150,0,2,,Mbs,eask 61.4,,,"
"107072,Stroomtrafo,,13574,04/616838,04/616844,04/616842,1600/5,5,320,0,2s,,Faget,RM100-E8A,,,"
"107115,Stroomtrafo,,13578,04/604020,04/604144,04/621123,1000/5,5,200,0,2s,,faget,RM85-E5a,,,"
"106968,Stroomtrafo,,13586,1VLT5104020969,1VLT5104020968,1VLT5104020967,150/5,10,30,0,2s,5,ABB,TPU 60.13,,,"
"107555,Stroomtrafo,,13588,04617222,04613485,04617217,200/5,2,5,40,0,2s,,Faget,RM70-E4B,,,"
"107660,Stroomtrafo,,13611,04/614854,04/615090,04/614850,400/5,,80,1,,,,,,"
"107066,Stroomtrafo,,13667,04/620352,04/620349,04/620356,2500/5,10,500,0,2s,,Faget,RM120E8/2,,,"
"67764,Stroomtrafo,,13682,92/263702,92/263704,92/263708,150/5,7,5,30,0,2,,Zelisko,KAS 2/C/2,,,"
"97575,Stroomtrafo,,13685,01/50009,01/50012,01/50032,250/5,5,50,0,2,,MBS,eask21.3,,,"
"49390,Stroomtrafo,,13686,397462,397463,397461,150/5,5,30,0,2,,Ritz,KSS 62,,,"
"103052,Stroomtrafo,,13698,94/903412,94/017201,94/017203,1000/5,7,5,200,0,2,,zelisko,kas2/c/2,,,"
"97450,Stroomtrafo,,13711,89/527390,89/527398,89/527389,100/5,5.....7,5,20,0,2,,Ritz,KSO 62,,,"
"107659,Stroomtrafo,,13612,04/631546,04/631565,04/631686,200/5,2,5,40,0,2s,,Faget,RM70-E4B,,,"
"107150,Stroomtrafo,,13625,98/11368,98/11367,98/11369,250/5,5,50,0,2,,MBS,EASK 21.3,,,"
"107579,Stroomtrafo,,13629,04/617339,04/617212,04/613457,200/5,2,5,40,0,2s,,MBS,EASK 21,3,,,"
"107578,Stroomtrafo,,13630,04/613480,04/613304,04/617167,200/5,2,5,40,0,2s,,Faget,RM70-E4B,,,"
